		p	p_id	p_name	p_charge	p_formula	p_kegg
dgdp	cpd_dgdp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
dgtp	cpd_dgtp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
dtdp	cpd_dtdp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
dttp	cpd_dttp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
cdp	cpd_cdp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
ctp	cpd_ctp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
udp	cpd_udp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
utp	cpd_utp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
5mta	cpd_5mta	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
5mtr	cpd_5mtr	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
ade	cpd_ade	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
mi1p-D	cpd_mi1p-D	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
inost	cpd_inost	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
pi	cpd_pi	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
met-L	cpd_met-L	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
amet	cpd_amet	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
nadph	cpd_nadph	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
oaa	cpd_oaa	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
gthrd	cpd_gthrd	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
mthgxl	cpd_mthgxl	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
lgt-S	cpd_lgt-S	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
ara5p	cpd_ara5p	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
kdo8p	cpd_kdo8p	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
kdo	cpd_kdo	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
ins	cpd_ins	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
imp	cpd_imp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
hom-L	cpd_hom-L	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
succoa	cpd_succoa	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
suchms	cpd_suchms	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
phom	cpd_phom	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
his-L	cpd_his-L	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
histrna	cpd_histrna	0.466418798313217	0.0005017605633802816	0.7516733067729083	0.004011865271752999	8.37245092218107e-05	0.0008362676056338028
dump	cpd_dump	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
dad-5	cpd_dad-5	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
5drib	cpd_5drib	0.6769087440641398	0.0005017605633802816	0.00033473048314771204	0.004011865271752999	0.6446583143507973	0.0008362676056338028
duri	cpd_duri	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
2dr1p	cpd_2dr1p	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
ura	cpd_ura	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
2dr5p	cpd_2dr5p	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
acald	cpd_acald	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
asp-L	cpd_asp-L	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
cbp	cpd_cbp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
cbasp	cpd_cbasp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
asn-L	cpd_asn-L	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
trnaasn	cpd_trnaasn	0.466418798313217	0.0005017605633802816	0.7516733067729083	0.004011865271752999	8.37245092218107e-05	0.0008362676056338028
asntrna	cpd_asntrna	0.466418798313217	0.0005017605633802816	0.7516733067729083	0.004011865271752999	8.37245092218107e-05	0.0008362676056338028
arg-L	cpd_arg-L	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
argtrna	cpd_argtrna	0.466418798313217	0.0005017605633802816	0.7516733067729083	0.004011865271752999	8.37245092218107e-05	0.0008362676056338028
5apru	cpd_5apru	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
5aprbu	cpd_5aprbu	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
